"ModelName_short","Task_short","Cancer","AUROC","AUPRC","Balanced_accuracy","Precision","Recall","Weighted_F1","Sensitivity","Specificity","AUROC_lower","AUROC_upper","AUPRC_lower","AUPRC_upper","Balanced_accuracy_lower","Balanced_accuracy_upper","Precision_lower","Precision_upper","Recall_lower","Recall_upper","Weighted_F1_lower","Weighted_F1_upper","Sensitivity_lower","Sensitivity_upper","Specificity_lower","Specificity_upper","binary_multi","Public","Dataset","Slide_vs_patch_classification","tissue","TaskCategory","TaskCategory_short","Classes","ModelName","ModelCategory","ModelDomain","ModelArch","Parameters_in_million","TrainingData_patches_in_million","Slides_in_million"
"Kaiko","lung exp subtype","LUSC+LUAD",0.855271057070945,0.6330143,0.5722407,0.5691475,0.5722407,0.5684318,0.572239560566093,0.893155907346733,0.815920314381571,0.893587125324918,0.5503375,0.715205,0.49169,0.653905,0.4879975,0.6519025,0.49169,0.653905,0.486585,0.6494025,0.49168111977292,0.653872349071207,0.873253385548281,0.913115165628074,"multi-class","TCGA","TCGA","Slide","lung","Gene Expression Subtype Prediction","Gene Expression Subtype Prediction","Basal, classical, proximal inflammatory, proximal proliferative, and terminal respiratory unit (TRU) ","Kaiko","Path-VM","Pathology","Vit-B",85,NA,0.029
"Lunit","lung exp subtype","LUSC+LUAD",0.911013479040977,0.7614629,0.7140436,0.7167481,0.7140436,0.7134058,0.714042211136457,0.928337076928216,0.879233600969649,0.941904622827561,0.6862825,0.83472,0.6448775,0.780505,0.645375,0.780315,0.6448775,0.780505,0.6439975,0.7782,0.644896633384537,0.780478751766956,0.911110432814145,0.944905423330636,"multi-class","TCGA","TCGA","Slide","lung","Gene Expression Subtype Prediction","Gene Expression Subtype Prediction","Basal, classical, proximal inflammatory, proximal proliferative, and terminal respiratory unit (TRU) ","lunit_dino_Vit-S16","Path-VM","Pathology","Vit-S",21,19,0.021
"Phikon","lung exp subtype","LUSC+LUAD",0.902568684499789,0.7494682,0.6752708,0.6839197,0.6752708,0.6763146,0.67527113144247,0.918945781037387,0.870053506463634,0.932746286990192,0.6785675,0.8210025,0.6027,0.7515,0.6127925,0.7606575,0.6027,0.7515,0.604995,0.75271,0.602747086068054,0.75153406987278,0.901499015055224,0.937864235070064,"multi-class","TCGA","TCGA","Slide","lung","Gene Expression Subtype Prediction","Gene Expression Subtype Prediction","Basal, classical, proximal inflammatory, proximal proliferative, and terminal respiratory unit (TRU) ","Phikon","Path-VM","Pathology","Vit-B",85,40,0.006
"HIPT","lung exp subtype","LUSC+LUAD",0.823845621403782,0.5822791,0.5378987,0.5367882,0.5378987,0.5344572,0.53789871487179,0.884420172092482,0.780524209943706,0.862069035932865,0.5047825,0.65972,0.46019,0.614705,0.4571975,0.6172175,0.46019,0.614705,0.4554975,0.61318,0.460174686424687,0.614687852996677,0.864730640064807,0.90379108178359,"multi-class","TCGA","TCGA","Slide","lung","Gene Expression Subtype Prediction","Gene Expression Subtype Prediction","Basal, classical, proximal inflammatory, proximal proliferative, and terminal respiratory unit (TRU) ","Hipt_Vit-S16","Path-VM","Pathology","Vit-S",21,104,0.01
"iBot-B16","lung exp subtype","LUSC+LUAD",0.890411163088303,0.702238,0.6626157,0.6628191,0.6626157,0.6596437,0.662614456015856,0.915683884139441,0.856617896707168,0.924036069868706,0.6219,0.782505,0.590875,0.7326025,0.5877,0.7334175,0.590875,0.7326025,0.5863875,0.73164,0.590843161062744,0.732634309490991,0.897547234198937,0.933330057388485,"multi-class","TCGA","TCGA","Slide","lung","Gene Expression Subtype Prediction","Gene Expression Subtype Prediction","Basal, classical, proximal inflammatory, proximal proliferative, and terminal respiratory unit (TRU) ","iBot-B16","VM","Natural Images","Vit-B",85,14,NA
"iBot-L16","lung exp subtype","LUSC+LUAD",0.878183614174975,0.6842929,0.6579512,0.6571571,0.6579512,0.6567003,0.657950497104829,0.914373061329353,0.840104273077699,0.913824295267134,0.601685,0.7679,0.5783625,0.7295075,0.5776475,0.7277425,0.5783625,0.7295075,0.5792575,0.7258025,0.578343108076564,0.729473547076488,0.895097439824071,0.931563956458188,"multi-class","TCGA","TCGA","Slide","lung","Gene Expression Subtype Prediction","Gene Expression Subtype Prediction","Basal, classical, proximal inflammatory, proximal proliferative, and terminal respiratory unit (TRU) ","iBot-L16","VM","Natural Images","Vit-L",307,14,NA
"Dino-S16","lung exp subtype","LUSC+LUAD",0.881527557033785,0.6933322,0.6421105,0.6461524,0.6421105,0.6417664,0.642111301247569,0.910663358940214,0.843772004339751,0.914140867468463,0.608995,0.7727025,0.56688,0.7158175,0.5708975,0.7219025,0.56688,0.7158175,0.56529,0.7158275,0.566865067060416,0.715786833240865,0.89232990214244,0.929400327060913,"multi-class","TCGA","TCGA","Slide","lung","Gene Expression Subtype Prediction","Gene Expression Subtype Prediction","Basal, classical, proximal inflammatory, proximal proliferative, and terminal respiratory unit (TRU) ","Dino-Vit-S16","VM","Natural Images","Vit-S",21,14,NA
"Dino-B16","lung exp subtype","LUSC+LUAD",0.898302530998594,0.7138621,0.6699359,0.6716515,0.6699359,0.6668084,0.669935402744448,0.917271548643658,0.867130702621363,0.927965042475024,0.63557,0.7943025,0.5986,0.7429025,0.5995625,0.7475225,0.5986,0.7429025,0.5912925,0.739925,0.598614202806156,0.742932007352383,0.899289359742724,0.935541304759036,"multi-class","TCGA","TCGA","Slide","lung","Gene Expression Subtype Prediction","Gene Expression Subtype Prediction","Basal, classical, proximal inflammatory, proximal proliferative, and terminal respiratory unit (TRU) ","Dino-Vit-B16","VM","Natural Images","Vit-B",85,14,NA
"Kaiko","lusc vs luad","LUSC+LUAD",0.92500418426613,0.925401950465886,0.8654002,0.8654408,0.8654002,0.8654292,0.863047402095745,0.867751427968447,0.902583974540611,0.94549799990594,0.897060080707995,0.949105888669901,0.8375825,0.8900175,0.8364,0.89051,0.8375825,0.8900175,0.836695,0.8895375,0.823735717308506,0.898955583711681,0.825927686281696,0.903686362360208,"binary","TCGA","TCGA","Slide","lung","Diagnostic: Histologic Subtyping","Diagnostic","Squamous cell carcinoma vs adenocarcinoma","Kaiko","Path-VM","Pathology","Vit-B",85,NA,0.029
"Lunit","lusc vs luad","LUSC+LUAD",0.941495340651813,0.943617344058828,0.8810734,0.8810936,0.8810734,0.8810768,0.878818007202929,0.883327671302493,0.923470343147121,0.958017339353138,0.921756694808075,0.962335064100074,0.8550975,0.9066,0.8552,0.9067,0.8550975,0.9066,0.8552,0.9063025,0.841735108090248,0.915203001146022,0.845110588645071,0.917808219178082,"binary","TCGA","TCGA","Slide","lung","Diagnostic: Histologic Subtyping","Diagnostic","Squamous cell carcinoma vs adenocarcinoma","lunit_dino_Vit-S16","Path-VM","Pathology","Vit-S",21,19,0.021
"Phikon","lusc vs luad","LUSC+LUAD",0.94072952799219,0.941862356707858,0.8853197,0.8853804,0.8853197,0.8853352,0.880364064582661,0.890277092976042,0.92066353933989,0.959474438847649,0.917970247660695,0.962931121325297,0.8586975,0.91241,0.8586975,0.912125,0.8586975,0.91241,0.8586,0.91154,0.840903312788906,0.918465300585463,0.856630660427149,0.924739939056425,"binary","TCGA","TCGA","Slide","lung","Diagnostic: Histologic Subtyping","Diagnostic","Squamous cell carcinoma vs adenocarcinoma","Phikon","Path-VM","Pathology","Vit-B",85,40,0.006
"HIPT","lusc vs luad","LUSC+LUAD",0.859516429953939,0.851377684936335,0.7884801,0.7886898,0.7884801,0.7884355,0.801861032077218,0.77510093352539,0.829392899726117,0.888705061718391,0.806898480050204,0.88912049090077,0.75629,0.821,0.7564,0.821,0.75629,0.821,0.7564,0.8211,0.755390101711734,0.847422152929579,0.727907278645339,0.822224157955865,"binary","TCGA","TCGA","Slide","lung","Diagnostic: Histologic Subtyping","Diagnostic","Squamous cell carcinoma vs adenocarcinoma","Hipt_Vit-S16","Path-VM","Pathology","Vit-S",21,104,0.01
"iBot-B16","lusc vs luad","LUSC+LUAD",0.936436651679081,0.936905491206156,0.8639425,0.8640706,0.8639425,0.8639549,0.857266480733257,0.870617851201691,0.913785274464738,0.954673653170473,0.909558301918215,0.958802564489234,0.8347925,0.8908025,0.8346925,0.890705,0.8347925,0.8908025,0.8347,0.891,0.813110014497602,0.895485057385136,0.828561610211095,0.909385384765752,"binary","TCGA","TCGA","Slide","lung","Diagnostic: Histologic Subtyping","Diagnostic","Squamous cell carcinoma vs adenocarcinoma","iBot-B16","VM","Natural Images","Vit-B",85,14,NA
"iBot-L16","lusc vs luad","LUSC+LUAD",0.942766227034285,0.941930855093333,0.8886404,0.8886397,0.8886404,0.8886493,0.890180837494225,0.887100610210444,0.924423323426073,0.959881655920938,0.915810002264283,0.962533206210424,0.8622975,0.9130025,0.8622925,0.9129025,0.8622975,0.9130025,0.8620975,0.9131,0.852391377787017,0.925572060791108,0.851125555372717,0.920022151898734,"binary","TCGA","TCGA","Slide","lung","Diagnostic: Histologic Subtyping","Diagnostic","Squamous cell carcinoma vs adenocarcinoma","iBot-L16","VM","Natural Images","Vit-L",307,14,NA
"Dino-S16","lusc vs luad","LUSC+LUAD",0.935254333827706,0.932312577613351,0.8801196,0.8803988,0.8801196,0.8801007,0.865958837537008,0.894279129728098,0.913538441910184,0.954083219279116,0.899137580165571,0.958793663088248,0.8535975,0.9063025,0.8535,0.906305,0.8535975,0.9063025,0.8535,0.9063,0.823128637736683,0.902536163522012,0.858167950693374,0.928813860908378,"binary","TCGA","TCGA","Slide","lung","Diagnostic: Histologic Subtyping","Diagnostic","Squamous cell carcinoma vs adenocarcinoma","Dino-Vit-S16","VM","Natural Images","Vit-S",21,14,NA
"Dino-B16","lusc vs luad","LUSC+LUAD",0.930700251498296,0.935186758431582,0.8616026,0.8617015,0.8616026,0.8615905,0.853052838245344,0.870152352959736,0.90947977616792,0.949201660968692,0.912168589545923,0.954895147101122,0.8329975,0.8889,0.8331,0.8893025,0.8329975,0.8889,0.833,0.8891025,0.809975694444445,0.892367519574944,0.831081081081081,0.907287834191808,"binary","TCGA","TCGA","Slide","lung","Diagnostic: Histologic Subtyping","Diagnostic","Squamous cell carcinoma vs adenocarcinoma","Dino-Vit-B16","VM","Natural Images","Vit-B",85,14,NA
"Kaiko","CPTAC-MYC","Pan-cancer",0.846703176388909,0.803878747855785,0.7667343,0.7666044,0.7667343,0.7663367,0.781274352364098,0.752195766831544,0.80311545609629,0.884881028388482,0.732623199733958,0.873821411845776,0.7201875,0.807105,0.7196975,0.8071025,0.7201875,0.807105,0.7204975,0.8069,0.713357493227908,0.841780479680213,0.689265536723164,0.815231693363844,"binary","CPTAC","CPTAC","Slide","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction","MYC pathway activity vs No MYC pathway activity","Kaiko","Path-VM","Pathology","Vit-B",85,NA,0.029
"Lunit","CPTAC-MYC","Pan-cancer",0.80888906573975,0.770236157173352,0.7358702,0.7361907,0.7358702,0.7350464,0.763989692993272,0.707755207882276,0.762297261119476,0.854261624427806,0.698080208603017,0.842860111860731,0.6891,0.7806125,0.6896925,0.78061,0.6891,0.7806125,0.688995,0.77873,0.698408002254156,0.824876823019314,0.63635128458498,0.774891321592892,"binary","CPTAC","CPTAC","Slide","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction","MYC pathway activity vs No MYC pathway activity","lunit_dino_Vit-S16","Path-VM","Pathology","Vit-S",21,19,0.021
"Phikon","CPTAC-MYC","Pan-cancer",0.87654397495827,0.871228133481601,0.7901888,0.7909948,0.7901888,0.7889483,0.829161571837617,0.751216784987025,0.840561572857549,0.909978259191348,0.822398760817598,0.914207714263152,0.74798,0.8319025,0.748295,0.832805,0.74798,0.8319025,0.7459725,0.830005,0.772439014588273,0.878612716763006,0.688769237203078,0.81319612590799,"binary","CPTAC","CPTAC","Slide","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction","MYC pathway activity vs No MYC pathway activity","Phikon","Path-VM","Pathology","Vit-B",85,40,0.006
"HIPT","CPTAC-MYC","Pan-cancer",0.790055979322496,0.75588185262259,0.7160203,0.7160379,0.7160203,0.7155119,0.735308858026107,0.696729791556225,0.740068075068075,0.836230642471843,0.674214320443916,0.823299276921699,0.67039,0.76322,0.6700875,0.7645025,0.67039,0.76322,0.6688,0.763705,0.664739884393064,0.802397057736379,0.627065677966102,0.765076592082616,"binary","CPTAC","CPTAC","Slide","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction","MYC pathway activity vs No MYC pathway activity","Hipt_Vit-S16","Path-VM","Pathology","Vit-S",21,104,0.01
"iBot-B16","CPTAC-MYC","Pan-cancer",0.840263554596989,0.806642430246175,0.7454447,0.7454668,0.7454447,0.744998,0.764264694707065,0.726626496202481,0.799593413853519,0.881870718170356,0.738855258554117,0.87617617106066,0.7004,0.792405,0.7012825,0.7920125,0.7004,0.792405,0.7003,0.7925,0.701217760022428,0.826353362638884,0.658212369290038,0.792225082609698,"binary","CPTAC","CPTAC","Slide","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction","MYC pathway activity vs No MYC pathway activity","iBot-B16","VM","Natural Images","Vit-B",85,14,NA
"iBot-L16","CPTAC-MYC","Pan-cancer",0.817809802642285,0.79919032174063,0.749964,0.7504047,0.749964,0.7490419,0.780690006683575,0.719237799851339,0.775638425731995,0.860186942124903,0.72998044540405,0.861496895136075,0.7061975,0.798315,0.7063975,0.79822,0.7061975,0.798315,0.7054875,0.7980075,0.721020821283979,0.841487435328899,0.647040889526542,0.78804347826087,"binary","CPTAC","CPTAC","Slide","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction","MYC pathway activity vs No MYC pathway activity","iBot-L16","VM","Natural Images","Vit-L",307,14,NA
"Dino-S16","CPTAC-MYC","Pan-cancer",0.820162199538658,0.80109080929658,0.7620848,0.7625666,0.7620848,0.7610916,0.79350203921824,0.730667971091172,0.769589540924774,0.862841536276038,0.73434528289549,0.856856036599237,0.713995,0.8057025,0.715095,0.8060025,0.713995,0.8057025,0.71438,0.8044425,0.729396809571286,0.854173259493671,0.664832782824112,0.794300366300366,"binary","CPTAC","CPTAC","Slide","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction","MYC pathway activity vs No MYC pathway activity","Dino-Vit-S16","VM","Natural Images","Vit-S",21,14,NA
"Dino-B16","CPTAC-MYC","Pan-cancer",0.819572422026164,0.798793350755949,0.7452196,0.7455592,0.7452196,0.7443017,0.775459010145166,0.714980011340919,0.776712253673501,0.859577898103238,0.731101705615095,0.857959487032795,0.70149,0.790415,0.7013,0.791305,0.70149,0.790415,0.7002925,0.7896025,0.711764705882353,0.834226126814362,0.651385794995964,0.781420765027322,"binary","CPTAC","CPTAC","Slide","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction","MYC pathway activity vs No MYC pathway activity","Dino-Vit-B16","VM","Natural Images","Vit-B",85,14,NA
"Kaiko","Chrom","Pan-cancer",0.798922577982501,0.763269700821244,0.7012038,0.702006,0.7012038,0.6999329,0.740047132483995,0.662358107594344,0.730067353668752,0.85692619793078,0.667835742030471,0.840147005277786,0.6298925,0.762405,0.631495,0.7624225,0.6298925,0.762405,0.62948,0.7619025,0.644216954022989,0.82559403437816,0.568128216123499,0.747368421052632,"binary","CPTAC","CPTAC","Slide","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction","chromatin modification pathway activation","Kaiko","Path-VM","Pathology","Vit-B",85,NA,0.029
"Lunit","Chrom","Pan-cancer",0.758787728733301,0.709287336370313,0.695501,0.6996311,0.695501,0.6922309,0.771997287402315,0.619003581149647,0.690160112359551,0.824650508807792,0.607115238246062,0.804071804504417,0.62905,0.760015,0.6320875,0.76752,0.62905,0.760015,0.6225975,0.759115,0.684782608695652,0.860215053763441,0.521265514184397,0.711116838487973,"binary","CPTAC","CPTAC","Slide","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction","chromatin modification pathway activation","lunit_dino_Vit-S16","Path-VM","Pathology","Vit-S",21,19,0.021
"Phikon","Chrom","Pan-cancer",0.807089435762204,0.79221818370043,0.7259267,0.7272449,0.7259267,0.7243737,0.77262780761068,0.679226060927923,0.746666122501641,0.864439127884563,0.701388039029002,0.864684039028555,0.6622975,0.783,0.6670875,0.7843075,0.6622975,0.783,0.662285,0.782805,0.688136416634279,0.852281698564593,0.585846267553585,0.767007453172502,"binary","CPTAC","CPTAC","Slide","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction","chromatin modification pathway activation","Phikon","Path-VM","Pathology","Vit-B",85,40,0.006
"HIPT","Chrom","Pan-cancer",0.757206914687218,0.745685141176073,0.670761,0.6706871,0.670761,0.671021,0.663656625022811,0.677865322523218,0.688959159680013,0.819035537407147,0.650550428157987,0.828117726739083,0.6043825,0.732925,0.603995,0.7338125,0.6043825,0.732925,0.6037975,0.7349025,0.565204603580563,0.755555555555556,0.583313106796117,0.765322405557968,"binary","CPTAC","CPTAC","Slide","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction","chromatin modification pathway activation","Hipt_Vit-S16","Path-VM","Pathology","Vit-S",21,104,0.01
"iBot-B16","Chrom","Pan-cancer",0.757753231430082,0.737352747072799,0.6990249,0.7012486,0.6990249,0.6964289,0.759230170343833,0.638820712688014,0.686147076165262,0.822019360496492,0.650158570907106,0.818112084637424,0.63519,0.762205,0.6362625,0.7654075,0.63519,0.762205,0.63213,0.7619025,0.673901952085182,0.843767361111111,0.544554455445545,0.728180622977346,"binary","CPTAC","CPTAC","Slide","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction","chromatin modification pathway activation","iBot-B16","VM","Natural Images","Vit-B",85,14,NA
"iBot-L16","Chrom","Pan-cancer",0.785842034364752,0.742328078976446,0.7092256,0.7100452,0.7092256,0.7080361,0.749827969558723,0.66862815901468,0.720488023036888,0.846220617873183,0.639950450661532,0.838649317166006,0.6492975,0.7771125,0.65047,0.7787025,0.6492975,0.7771125,0.648495,0.7769075,0.659989361702128,0.833333333333333,0.574045138888889,0.758620689655172,"binary","CPTAC","CPTAC","Slide","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction","chromatin modification pathway activation","iBot-L16","VM","Natural Images","Vit-L",307,14,NA
"Dino-S16","Chrom","Pan-cancer",0.775608593015797,0.770546327983364,0.6685413,0.6693541,0.6685413,0.6671492,0.708325925814988,0.628753939051773,0.705865449628127,0.837245220339208,0.678833671206981,0.850607068470634,0.5997,0.7347,0.599695,0.7352225,0.5997,0.7347,0.5974925,0.732035,0.608684446436576,0.797872340425532,0.529985294117647,0.71878125,"binary","CPTAC","CPTAC","Slide","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction","chromatin modification pathway activation","Dino-Vit-S16","VM","Natural Images","Vit-S",21,14,NA
"Dino-B16","Chrom","Pan-cancer",0.793515515584095,0.768709450086127,0.7319649,0.7335487,0.7319649,0.7298426,0.782328693252731,0.681603753667184,0.731074616458251,0.852614602376322,0.68195822174788,0.849019813429199,0.6692,0.7928175,0.6715925,0.79333,0.6692,0.7928175,0.666195,0.7886925,0.695652173913043,0.861738521836506,0.593731831395349,0.773819124423963,"binary","CPTAC","CPTAC","Slide","pan-cancer","Pathway Activation Status Prediction","Pathway Activation Status Prediction","chromatin modification pathway activation","Dino-Vit-B16","VM","Natural Images","Vit-B",85,14,NA
"Kaiko","CPTAC-grade","Pan-cancer",0.735399444652158,0.5393674,0.5103082,0.5065241,0.5103082,0.5070315,0.510308242091982,0.83726815438323,0.652393879211457,0.8137872718263,0.429565,0.66354,0.388195,0.628705,0.37648,0.63511,0.388195,0.628705,0.3835625,0.630435,0.388232303687025,0.62867285300848,0.797519188743029,0.877163982937152,"multi-class","CPTAC","CPTAC","Slide","pan-cancer","Diagnostic: Tumor Grading","Diagnostic","tumor grades obtained from the study were G1, G2, G3 and G4","Kaiko","Path-VM","Pathology","Vit-B",85,NA,0.029
"Lunit","CPTAC-grade","Pan-cancer",0.7247796109943,0.5091879,0.4829753,0.4885943,0.4829753,0.4716882,0.482975221109072,0.828552827553294,0.642614724909357,0.80386951763411,0.4058575,0.6228775,0.37095,0.605715,0.351895,0.63522,0.37095,0.605715,0.350095,0.6074225,0.370970750740488,0.605691287878788,0.788989552839988,0.869742946964507,"multi-class","CPTAC","CPTAC","Slide","pan-cancer","Diagnostic: Tumor Grading","Diagnostic","tumor grades obtained from the study were G1, G2, G3 and G4","lunit_dino_Vit-S16","Path-VM","Pathology","Vit-S",21,19,0.021
"Phikon","CPTAC-grade","Pan-cancer",0.742947847135103,0.5317753,0.5438526,0.5558388,0.5438526,0.532001,0.543851852394543,0.848552095581942,0.662488723450599,0.825279159027953,0.4168875,0.6603475,0.4311725,0.6583175,0.4226425,0.688945,0.4311725,0.6583175,0.40704,0.6507525,0.431124864718615,0.658363056077694,0.809891038532691,0.885287004633873,"multi-class","CPTAC","CPTAC","Slide","pan-cancer","Diagnostic: Tumor Grading","Diagnostic","tumor grades obtained from the study were G1, G2, G3 and G4","Phikon","Path-VM","Pathology","Vit-B",85,40,0.006
"HIPT","CPTAC-grade","Pan-cancer",0.692973037374996,0.4786932,0.4566717,0.4573688,0.4566717,0.4463594,0.456671894372153,0.818742615765146,0.605562301644441,0.774454904418846,0.3799975,0.5808225,0.3379775,0.57174,0.33388,0.5909075,0.3379775,0.57174,0.33301,0.569805,0.337978916642568,0.571726591503826,0.781937359668918,0.85760503435167,"multi-class","CPTAC","CPTAC","Slide","pan-cancer","Diagnostic: Tumor Grading","Diagnostic","tumor grades obtained from the study were G1, G2, G3 and G4","Hipt_Vit-S16","Path-VM","Pathology","Vit-S",21,104,0.01
"iBot-B16","CPTAC-grade","Pan-cancer",0.733904716089471,0.5477082,0.5127743,0.5253909,0.5127743,0.5132206,0.512775115511901,0.838625358864269,0.652670756786846,0.815287442577234,0.4419675,0.6694025,0.3927775,0.635405,0.40013,0.6528125,0.3927775,0.635405,0.3832625,0.6329175,0.392786553052855,0.635453117144294,0.797710963389772,0.877309205387383,"multi-class","CPTAC","CPTAC","Slide","pan-cancer","Diagnostic: Tumor Grading","Diagnostic","tumor grades obtained from the study were G1, G2, G3 and G4","iBot-B16","VM","Natural Images","Vit-B",85,14,NA
"iBot-L16","CPTAC-grade","Pan-cancer",0.720201337088397,0.5257171,0.466539,0.471619,0.466539,0.4656475,0.466538175625371,0.823317331001725,0.6388865785812,0.799081502701417,0.4145,0.63881,0.3473125,0.579405,0.34179,0.587605,0.3473125,0.579405,0.3436875,0.59091,0.347325112511113,0.579417016806723,0.783225691125187,0.863160935755881,"multi-class","CPTAC","CPTAC","Slide","pan-cancer","Diagnostic: Tumor Grading","Diagnostic","tumor grades obtained from the study were G1, G2, G3 and G4","iBot-L16","VM","Natural Images","Vit-L",307,14,NA
"Dino-S16","CPTAC-grade","Pan-cancer",0.758104047078851,0.595301,0.5272146,0.6198061,0.5272146,0.510752,0.527214885180926,0.842769339149951,0.67785861166421,0.833417739340719,0.485785,0.7036375,0.4226875,0.6335275,0.5228,0.7113025,0.4226875,0.6335275,0.3832975,0.6335525,0.422716933264534,0.633487599345958,0.80539743632633,0.880223255794224,"multi-class","CPTAC","CPTAC","Slide","pan-cancer","Diagnostic: Tumor Grading","Diagnostic","tumor grades obtained from the study were G1, G2, G3 and G4","Dino-Vit-S16","VM","Natural Images","Vit-S",21,14,NA
"Dino-B16","CPTAC-grade","Pan-cancer",0.73387616127253,0.5662532,0.5121902,0.5290506,0.5121902,0.5023109,0.512189386712843,0.83776757750244,0.65014988877887,0.810519210615353,0.45229,0.67895,0.394895,0.6299675,0.39415,0.659505,0.394895,0.6299675,0.3801875,0.627515,0.394881151324166,0.62996219623693,0.798420558510472,0.876860877570231,"multi-class","CPTAC","CPTAC","Slide","pan-cancer","Diagnostic: Tumor Grading","Diagnostic","tumor grades obtained from the study were G1, G2, G3 and G4","Dino-Vit-B16","VM","Natural Images","Vit-B",85,14,NA
"Kaiko","tumor label","Pan-cancer",0.985272751175811,0.9359997,0.8520979,0.8523335,0.8520979,0.8479892,0.852100095141906,0.974609307764705,0.97582084595215,0.992350296263727,0.901085,0.9640025,0.80009,0.900305,0.8015875,0.90141,0.80009,0.900305,0.793465,0.90111,0.800041774847348,0.900343681634261,0.965488081097168,0.983458301964342,"multi-class","CPTAC","CPTAC","Slide","pan-cancer","Diagnostic: Histologic Subtyping","Diagnostic","7-classes were BRCA, CCRCC, COAD, GBM, LSCC, LUAD, PDA (7 tumor types)","Kaiko","Path-VM","Pathology","Vit-B",85,NA,0.029
"Lunit","tumor label","Pan-cancer",0.98776812783684,0.9461109,0.8983953,0.8987474,0.8983953,0.8950328,0.89839534854274,0.982483044242814,0.979208363618448,0.994691126533852,0.911795,0.9750025,0.8550875,0.9417025,0.856495,0.9416325,0.8550875,0.9417025,0.8476,0.9417,0.855073157108576,0.94168718863207,0.974579934435454,0.990287960067726,"multi-class","CPTAC","CPTAC","Slide","pan-cancer","Diagnostic: Histologic Subtyping","Diagnostic","7-classes were BRCA, CCRCC, COAD, GBM, LSCC, LUAD, PDA (7 tumor types)","lunit_dino_Vit-S16","Path-VM","Pathology","Vit-S",21,19,0.021
"Phikon","tumor label","Pan-cancer",0.992542227146376,0.9635275,0.9087543,0.9106906,0.9087543,0.9076749,0.908754556322356,0.984605452617843,0.987043919708779,0.996751841891961,0.9389,0.983,0.867095,0.9460075,0.8683875,0.948105,0.867095,0.9460075,0.864895,0.9475,0.867130009575498,0.946056147201136,0.977273098150772,0.991262054961797,"multi-class","CPTAC","CPTAC","Slide","pan-cancer","Diagnostic: Histologic Subtyping","Diagnostic","7-classes were BRCA, CCRCC, COAD, GBM, LSCC, LUAD, PDA (7 tumor types)","Phikon","Path-VM","Pathology","Vit-B",85,40,0.006
"HIPT","tumor label","Pan-cancer",0.98037188175013,0.9094601,0.8241772,0.822336,0.8241772,0.8178593,0.824176985426949,0.969781733099549,0.969322316778128,0.989506000812898,0.861085,0.9481025,0.7679875,0.87842,0.7645875,0.879205,0.7679875,0.87842,0.7534,0.8783,0.768003997009432,0.878439811223973,0.959122285881234,0.979710692564104,"multi-class","CPTAC","CPTAC","Slide","pan-cancer","Diagnostic: Histologic Subtyping","Diagnostic","7-classes were BRCA, CCRCC, COAD, GBM, LSCC, LUAD, PDA (7 tumor types)","Hipt_Vit-S16","Path-VM","Pathology","Vit-S",21,104,0.01
"iBot-B16","tumor label","Pan-cancer",0.988038473050225,0.9463168,0.8690388,0.870234,0.8690388,0.8662337,0.869038168836182,0.977681184890304,0.979867643651944,0.994797360581394,0.914295,0.9744025,0.82219,0.916405,0.82079,0.91893,0.82219,0.916405,0.8152875,0.9181,0.82214481141373,0.916441929643499,0.96901554624209,0.986312378470858,"multi-class","CPTAC","CPTAC","Slide","pan-cancer","Diagnostic: Histologic Subtyping","Diagnostic","7-classes were BRCA, CCRCC, COAD, GBM, LSCC, LUAD, PDA (7 tumor types)","iBot-B16","VM","Natural Images","Vit-B",85,14,NA
"iBot-L16","tumor label","Pan-cancer",0.987937878297576,0.9473177,0.8970817,0.8981243,0.8970817,0.8944134,0.897080623380172,0.982408889042172,0.978592552229306,0.9954123383852,0.912195,0.9770075,0.8539875,0.9390075,0.8534,0.9402025,0.8539875,0.9390075,0.846885,0.936105,0.853943842403363,0.939026839432788,0.974477556695415,0.989480535504837,"multi-class","CPTAC","CPTAC","Slide","pan-cancer","Diagnostic: Histologic Subtyping","Diagnostic","7-classes were BRCA, CCRCC, COAD, GBM, LSCC, LUAD, PDA (7 tumor types)","iBot-L16","VM","Natural Images","Vit-L",307,14,NA
